ATC,DB,Farmaco
J01DE01,DB01413,CEFEPIMA
J01DD08,DB00671,CEFIXIMA
J01DD01,DB00493,CEFOTAXIMA
J01DD02,DB00438,CEFTAZIDIMA
J01DD52,DB00438,CEFTAZIDIMA/AVIBACTAM
J01DD14,DB01415,CEFTIBUTEN
J01DI54,DB09050,CEFTOLOZANO/TAZOBACTAM
J01DD04,DB01212,CEFTRIAXONA
J01DC02,DB01112,CEFUROXIMA
M01AH01,DB00482,CELECOXIB
L01FF06,DB14707,CEMIPLIMAB
N06BX,DB16599,CEREBROLYSIN
L04AB05,DB08904,CERTOLIZUMAB
H01CC02,DB00050,CETRORELIX
L01FE01,DB00002,CETUXIMAB
L01AA01,DB00531,CICLOFOSFAMIDA
S01FA04,DB00979,CICLOPENTOLATO
L04AD01,DB00091,CICLOSPORINA
B01AC23,DB01166,CILOSTAZOL
H05BX01,DB01012,CINACALCET
N07CA02,DB00568,CINARIZINA
A03FA07,DB08810,CINITAPRIDA
J01MA02,DB00537,CIPROFLOXACINO
G03HB01,DB04839,CIPROTERONA/ETINILESTRADIOL
A03FA02,DB00604,CISAPRIDA
M03AC11,DB00565,CISATRACURIO
L01XA01,DB00515,CISPLATINO
A16AA04,DB00847,CISTEAMINA
N06AB04,DB00215,CITALOPRAM
L01BC01,DB00987,CITARABINA
N06BX06,DB12153,CITICOLINA
N07X,DB02431,CITIDIN 5 MONOFOSFATO/ URIDIN 5 TRIFOSFATO
L01BB04,DB00242,CLADRIBINA
J01FA09,DB01211,CLARITROMICINA
D10AX06,DB12499,CLASCOTERONA
A03FA06,DB13511,CLEBOPRIDA
J01FF01,DB01190,CLINDAMICINA
D08AH01,DB04815,CLIOQUINOL
N05BA09,DB00349,CLOBAZAM
L01BB06,DB00631,CLOFARABINA
C10AB01,DB00636,CLOFIBRATO
G03GB02,DB00882,CLOMIFENO
N03AE01,DB01068,CLONAZEPAM
M01AX,DB09218,CLONIXINATO DE LISINA
B01AC04,DB00758,CLOPIDOGREL
B01AC30,DB00758,CLOPIDOGREL/ACIDO ACETILSALICILICO
L01AA02,DB00291,CLORAMBUCILO
S01AA01,DB00446,CLORANFENICOL
S01AA,DB00446,CLORANFENICOL/SULFACETAMIDA
R06AB04,DB01114,CLORFENAMINA
R06AB54,DB01114,CLORFENAMINA COMPUESTA
G03DB06,DB13528,CLORMADINONA
R06AC03,DB08800,CLOROPIRAMINA
P01BA01,DB00608,CLOROQUINA
C03BA04,DB00310,CLORTALIDONA
V10XX03,DB08913,CLORURO DE RADIO 223
B05XA03,DB09153,CLORURO DE SODIO
N05AH02,DB00363,CLOZAPINA
V03A,DB16525,COLAGENA-POLIVINILPIRROLIDONA
M04AC01,DB01394,COLCHICINA
A11CC05,DB00169,COLECALCIFEROL (VITAMINA D3)
C10AC01,DB01432,COLESTIRAMINA
J01XB01,DB01111,COLISTIMETATO
A11EA,DB00115,COMPLEJO B
B02B,DB13151,COMPLEJO COAGULANTE ANTI-INHIBIDOR DEL FACTOR VIII
B02BD01,DB11311,COMPLEJO DE PROTROMBINA HUMANA
G03GA08,DB00097,CORIOGONADOTROPINA ALFA
L01EA02,DB08865,CRIZOTINIB
R01AC01,DB01003,CROMOGLICATO DE SODIO
B01AE07,DB06695,DABIGATRAN
L01AX04,DB00851,DACARBAZINA
L01DA01,DB00970,DACTINOMICINA
B02B,DB14700,DAMOCTOCOG ALFA PEGOL
G03XA01,DB01406,DANAZOL
A10BK01,DB06292,DAPAGLIFLOZINA
A10BD15,DB06292,DAPAGLIFLOZINA/METFORMINA
J04BA02,DB00250,DAPSONA
L01FC01,DB09331,DARATUMUMAB
B03XA02,DB00012,DARBEPOETINA ALFA
L02BB06,DB12941,DAROLUTAMIDA
J05AE10,DB01264,DARUNAVIR
J05AE10,DB01264,DARUNAVIR/COBICISTAT
L01EA02,DB01254,DASATINIB
L01FX35,DB16410,DATOPOTAMAB DERUXTECAN
L01DB02,DB00694,DAUNORUBICINA
V03AC03,DB01609,DEFERASIROX
B01AX01,DB04932,DEFIBROTIDA
H02AB13,DB11921,DEFLAZACORT
L02BX02,DB06699,DEGARELIX
M05BX04,DB06643,DENOSUMAB
N01AB07,DB01189,DESFLURANO
R06AX27,DB00967,DESLORATADINA
H01BA02,DB00035,DESMOPRESINA
G03AC09,DB00304,DESOGESTREL
G03AA09,DB00304,DESOGESTREL/ETINILESTRADIOL
N06AX23,DB06700,DESVENLAFAXINA
H02AB02,DB01234,DEXAMETASONA
M01AE17,DB09214,DEXKETOPROFENO
A02BC06,DB05351,DEXLANSOPRAZOL
N05CM18,DB00633,DEXMEDETOMIDINA
V03AF02,DB00380,DEXRAZOXANO
R05DA09,DB00514,DEXTROMETORFANO
N05BA01,DB00829,DIAZEPAM
M01AB05,DB00586,DICLOFENACO
J01CF01,DB00485,DICLOXACILINA
G03DB08,DB09123,DIENOGEST
R06AA02,DB01075,DIFENHIDRAMINA
A04AD,DB01231,DIFENIDOL
C01AA05,DB00390,DIGOXINA
C08DB01,DB00343,DILTIAZEM
A04AA02,DB00985,DIMENHIDRINATO
N07XX09,DB08908,DIMETILFUMARATO
G02AD02,DB00917,DINOPROSTONA
A07BC05,DB13654,DIOSMECTITA
C05CA53,DB08995,DIOSMINA/ HESPERIDINA
B01AC07,DB00975,DIPIRIDAMOL
P01A,DB04815,DIYODOHIDROXIQUINOLEINA (IODOQUINOL)
C01CA07,DB00841,DOBUTAMINA
L01CD02,DB01248,DOCETAXEL
J05AJ03,DB08930,DOLUTEGRAVIR
J05AR13,DB08930,DOLUTEGRAVIR/ABACAVIR/LAMIVUDINA
J05AR25,DB08930,DOLUTEGRAVIR/LAMIVUDINA
N06DX05,DB16647,DONANEMAB
